configuration,use_pca,use_smote,use_kmeans,use_ensemble,fold,train_samples,test_samples,model,accuracy,precision,recall,f1,roc_auc
Without K-Means,True,True,False,True,9,1494180,36578,Hybrid Ensemble,0.9917710098966592,0.9922615732180156,0.9917710098966592,0.9919001906969075,0.9963822425400086
Without K-Means,True,True,False,True,10,1494180,36578,Decision Tree,0.9904587456941331,0.9912448473690271,0.9904587456941331,0.9906995607222298,0.9942102919274498
Without K-Means,True,True,False,True,10,1494180,36578,Random Forest,0.9927005303734485,0.9930517086838773,0.9927005303734485,0.9927992460144777,0.9981540791239208
Without K-Means,True,True,False,True,10,1494180,36578,SVM,0.9586089999453223,0.971383388444073,0.9586089999453223,0.9623079894121405,0.9916071673308231
Without K-Means,True,True,False,True,10,1494180,36578,Hybrid Ensemble,0.9923177866477118,0.9928369775415201,0.9923177866477118,0.9924539325604356,0.99734689441041
Without Ensemble,True,True,True,False,1,1494180,36579,Decision Tree,0.9881079307799557,0.9892632431268498,0.9881079307799557,0.9884721381084332,0.9925030419165046
Without Ensemble,True,True,True,False,1,1494180,36579,Random Forest,0.9913064873287952,0.9917620350205023,0.9913064873287952,0.9914281058397385,0.9977574521765902
Without Ensemble,True,True,True,False,1,1494180,36579,SVM,0.9604144454468411,0.9727211939524761,0.9604144454468411,0.9643806281740145,0.9880562451261085
Without Ensemble,True,True,True,False,2,1494180,36579,Decision Tree,0.9869870690833539,0.9895274029519725,0.9869870690833539,0.9877595231329381,0.9957896477209709
Without Ensemble,True,True,True,False,2,1494180,36579,Random Forest,0.9929467727384564,0.9933147679386872,0.9929467727384564,0.993049816119305,0.9983374403105824
Without Ensemble,True,True,True,False,2,1494180,36579,SVM,0.9612072500615108,0.9742090751658016,0.9612072500615108,0.9648768078541565,0.9904886304974008
Without Ensemble,True,True,True,False,3,1494180,36579,Decision Tree,0.9879165641488286,0.9894428506424313,0.9879165641488286,0.9883864049136035,0.9930733410663317
Without Ensemble,True,True,True,False,3,1494180,36579,Random Forest,0.9918805872221766,0.9923741748822492,0.9918805872221766,0.9920194761329671,0.9978031788776955
Without Ensemble,True,True,True,False,3,1494180,36579,SVM,0.9609612072500615,0.974139933071303,0.9609612072500615,0.9646128648453272,0.9901808792484774
Without Ensemble,True,True,True,False,4,1494180,36579,Decision Tree,0.98581153120643,0.9886018696296606,0.98581153120643,0.9867012926740912,0.994227658772014
Without Ensemble,True,True,True,False,4,1494180,36579,Random Forest,0.9926187156565243,0.9929685462276675,0.9926187156565243,0.9927114057347691,0.9977102661990713
Without Ensemble,True,True,True,False,4,1494180,36579,SVM,0.9623007736679515,0.9740170158809835,0.9623007736679515,0.9661654983431465,0.9896594416141705
Without Ensemble,True,True,True,False,5,1494180,36579,Decision Tree,0.9862762787391672,0.9888083899165235,0.9862762787391672,0.9870446685261044,0.99453759639722
Without Ensemble,True,True,True,False,5,1494180,36579,Random Forest,0.9919079253123377,0.992384891522774,0.9919079253123377,0.9920444835810547,0.9982003498329887
Without Ensemble,True,True,True,False,5,1494180,36579,SVM,0.953880641898357,0.9714435204515426,0.953880641898357,0.9577628313408415,0.9892388215368784
Without Ensemble,True,True,True,False,6,1494180,36579,Decision Tree,0.987315126165286,0.9891834462412249,0.987315126165286,0.9878909218420214,0.9938990312022566
Without Ensemble,True,True,True,False,6,1494180,36579,Random Forest,0.9920446157631427,0.9924716761663248,0.9920446157631427,0.9921561593301919,0.9979755352507379
Without Ensemble,True,True,True,False,6,1494180,36579,SVM,0.9575439459799339,0.972433915073754,0.9575439459799339,0.961598499540201,0.9888570231313367
Without Ensemble,True,True,True,False,7,1494180,36579,Decision Tree,0.98581153120643,0.9881897264121534,0.98581153120643,0.9865621237251272,0.994002926259138
Without Ensemble,True,True,True,False,7,1494180,36579,Random Forest,0.9919079253123377,0.9923457852006392,0.9919079253123377,0.9920260232648388,0.9979398134772326
Without Ensemble,True,True,True,False,7,1494180,36579,SVM,0.9577079745209,0.9725901585996366,0.9577079745209,0.9619495019677672,0.9896474514180283
Without Ensemble,True,True,True,False,8,1494180,36579,Decision Tree,0.9863856310998114,0.9888208089775153,0.9863856310998114,0.9871418979757063,0.994021552416659
Without Ensemble,True,True,True,False,8,1494180,36579,Random Forest,0.9925367013860412,0.9929468290220432,0.9925367013860412,0.9926440557968625,0.9985639404385828
